"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","status_code.count","status_code.status","step","test_name","test_suite"
2024-01-18 10:50:33,0,4421,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,4.55,0.260,0.170,0.250,0.270,0.310,0.470,0.120,4421,884,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:33,0,4359,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,15.4,0.670,0.520,0.650,0.690,0.790,1.28,0.280,4359,872,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:33,0,8780,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,22.8,0.470,0.170,0.530,0.650,0.740,1.03,0.350,8780,1756,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:34,0,4317,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,11.3,0.670,0.500,0.640,0.680,0.790,1.24,0.230,4317,863,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:34,0,8774,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,19.7,0.470,0.180,0.370,0.640,0.740,1.02,0.380,8774,1755,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:34,0,4457,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,19.7,0.260,0.180,0.250,0.260,0.310,0.470,0.350,4457,891,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:39,0,11329,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.23,0.440,0.160,0.380,0.630,0.700,0.800,0.210,11329,2266,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:39,0,5694,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.27,0.240,0.160,0.240,0.260,0.300,0.350,0.0400,5694,1139,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:39,0,5635,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.23,0.630,0.480,0.630,0.660,0.740,0.860,0.0800,5635,1127,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:39,0,5781,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.51,0.240,0.160,0.240,0.250,0.300,0.350,0.0400,5781,1156,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:39,0,5642,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.57,0.630,0.490,0.620,0.650,0.740,0.840,0.0700,5642,1128,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:39,0,11423,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.58,0.440,0.160,0.340,0.620,0.700,0.810,0.200,11423,2285,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:44,0,5691,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.97,0.620,0.470,0.620,0.650,0.730,0.850,0.0800,5691,1138,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:44,0,11552,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.97,0.430,0.160,0.340,0.620,0.690,0.800,0.200,11552,2310,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:44,0,5861,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.17,0.240,0.160,0.230,0.250,0.290,0.350,0.0600,5861,1172,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:44,0,11339,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.42,0.440,0.170,0.530,0.630,0.690,0.810,0.210,11339,2268,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:44,0,5637,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.83,0.240,0.170,0.240,0.250,0.290,0.340,0.0400,5637,1127,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:44,0,5702,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.41,0.630,0.480,0.620,0.650,0.730,0.860,0.0800,5702,1140,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:48,0,5938,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.41,0.240,0.170,0.240,0.250,0.290,0.340,0.0400,5938,1188,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:48,0,5648,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.93,0.630,0.490,0.620,0.650,0.730,0.840,0.0600,5648,1130,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:48,0,11586,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.41,0.430,0.180,0.320,0.620,0.690,0.790,0.200,11586,2317,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:49,0,5675,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.47,0.630,0.470,0.620,0.650,0.720,0.850,0.0700,5675,1135,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:49,0,11586,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.48,0.430,0.160,0.320,0.620,0.690,0.790,0.200,11586,2317,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:49,0,5911,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,0.850,0.240,0.160,0.240,0.250,0.290,0.340,0.0300,5911,1182,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:53,0,11555,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.70,0.430,0.160,0.480,0.620,0.680,0.770,0.200,11555,2311,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:53,0,5792,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.29,0.240,0.160,0.230,0.250,0.290,0.330,0.0400,5792,1158,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:53,0,5763,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.70,0.620,0.470,0.610,0.640,0.720,0.810,0.0700,5763,1153,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:53,0,5817,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.86,0.240,0.170,0.240,0.250,0.280,0.330,0.0600,5817,1163,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:53,0,5697,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.58,0.630,0.490,0.620,0.650,0.720,0.820,0.0800,5697,1139,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:53,0,11514,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.86,0.430,0.170,0.330,0.620,0.690,0.790,0.210,11514,2303,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:59,0,5722,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.65,0.630,0.480,0.620,0.650,0.730,0.840,0.0900,5722,1144,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:50:59,0,11487,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.65,0.430,0.160,0.380,0.620,0.700,0.790,0.210,11487,2297,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:59,0,5765,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.40,0.240,0.160,0.240,0.250,0.290,0.340,0.0400,5765,1153,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:59,0,11494,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.04,0.430,0.160,0.340,0.620,0.700,0.790,0.200,11494,2299,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:50:59,0,5833,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.07,0.240,0.160,0.240,0.250,0.290,0.350,0.0300,5833,1167,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:50:59,0,5661,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.04,0.630,0.480,0.620,0.650,0.730,0.830,0.0700,5661,1132,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:03,0,5917,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.82,0.240,0.160,0.240,0.250,0.290,0.340,0.0500,5917,1183,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:03,0,5668,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.92,0.620,0.490,0.620,0.650,0.720,0.830,0.0600,5668,1134,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:03,0,11585,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.92,0.430,0.170,0.320,0.620,0.690,0.790,0.200,11585,2317,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:04,0,5702,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.88,0.620,0.470,0.620,0.650,0.720,0.830,0.100,5702,1140,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:04,0,11568,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.88,0.430,0.160,0.330,0.620,0.690,0.780,0.210,11568,2314,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:04,0,5866,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.01,0.240,0.160,0.240,0.250,0.290,0.340,0.0300,5866,1173,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:08,0,11679,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,16.1,0.430,0.160,0.330,0.610,0.680,0.770,0.250,11679,2336,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:08,0,5925,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.48,0.240,0.160,0.230,0.250,0.280,0.340,0.0400,5925,1185,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:08,0,5754,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,16.1,0.620,0.470,0.610,0.640,0.710,0.800,0.220,5754,1151,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:08,0,5763,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,13.5,0.240,0.170,0.240,0.250,0.290,0.340,0.180,5763,1153,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:08,0,5722,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.34,0.620,0.490,0.620,0.650,0.720,0.820,0.0700,5722,1144,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:08,0,11485,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,13.5,0.430,0.170,0.380,0.620,0.680,0.790,0.240,11485,2297,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:13,0,5904,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.40,0.610,0.460,0.600,0.630,0.710,0.810,0.0800,5904,1181,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:13,0,11864,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.45,0.420,0.160,0.400,0.600,0.670,0.780,0.200,11864,2373,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:13,0,5960,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.44,0.230,0.160,0.220,0.240,0.280,0.340,0.0600,5960,1192,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:13,0,11666,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.47,0.430,0.160,0.330,0.610,0.680,0.800,0.200,11666,2333,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:13,0,5915,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.89,0.240,0.160,0.230,0.240,0.290,0.340,0.0500,5915,1183,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:13,0,5751,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.47,0.620,0.480,0.610,0.640,0.730,0.860,0.0800,5751,1150,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:18,0,6085,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1,0.230,0.170,0.220,0.240,0.270,0.310,0.0300,6085,1217,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:18,0,5940,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,4.26,0.600,0.470,0.600,0.630,0.700,0.790,0.0800,5940,1188,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:18,0,12025,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,4.26,0.410,0.170,0.310,0.600,0.660,0.750,0.200,12025,2405,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:18,0,5879,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.45,0.610,0.460,0.610,0.640,0.710,0.800,0.0700,5879,1176,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:18,0,11662,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.46,0.430,0.160,0.510,0.610,0.670,0.760,0.200,11662,2332,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:18,0,5783,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.09,0.230,0.160,0.230,0.240,0.280,0.320,0.0300,5783,1157,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:23,0,11978,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.13,0.420,0.160,0.340,0.600,0.670,0.780,0.200,11978,2396,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:23,0,6049,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.32,0.230,0.160,0.220,0.240,0.280,0.330,0.0400,6049,1210,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:23,0,5929,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.13,0.600,0.460,0.600,0.620,0.710,0.820,0.0700,5929,1186,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:23,0,6015,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.01,0.230,0.170,0.230,0.240,0.290,0.340,0.0500,6015,1203,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:23,0,5739,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.69,0.620,0.480,0.610,0.640,0.720,0.840,0.100,5739,1148,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:23,0,11754,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,5.69,0.420,0.170,0.310,0.610,0.680,0.790,0.210,11754,2351,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:28,0,5902,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.12,0.610,0.460,0.600,0.630,0.710,0.800,0.0700,5902,1180,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:28,0,11885,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.13,0.420,0.160,0.340,0.600,0.670,0.760,0.200,11885,2377,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:28,0,5983,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.88,0.230,0.160,0.230,0.240,0.280,0.320,0.0400,5983,1197,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:28,0,11716,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.05,0.430,0.160,0.330,0.610,0.680,0.770,0.200,11716,2343,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:28,0,5923,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.60,0.230,0.160,0.230,0.240,0.290,0.330,0.0400,5923,1185,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:28,0,5793,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.04,0.620,0.490,0.610,0.640,0.720,0.800,0.0700,5793,1159,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:33,0,6045,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,6.76,0.230,0.160,0.220,0.240,0.280,0.330,0.100,6045,1209,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Get balance,test_http_api,gitter.io
2024-01-18 10:51:33,0,5938,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.28,0.600,0.460,0.590,0.620,0.700,0.800,0.0700,5938,1188,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,Reserve balance,test_http_api,gitter.io
2024-01-18 10:51:33,0,11983,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,6.76,0.420,0.160,0.330,0.600,0.660,0.760,0.200,11983,2397,randomСhoice,2024-01-18_07.50.31_session_bdffbde3,1,,,global information,test_http_api,gitter.io
2024-01-18 10:51:33,0,5794,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.37,0.620,0.480,0.610,0.640,0.710,0.830,0.0800,5794,1159,randomСhoice,2024-01-18_07.50.31_session_f1849f12,1,,,Reserve balance,test_http_api,gitter.io
